diameter,chiral_angle,mod_type,S11,S22,RBM,wl11,wl22,index_n,index_m,SDS%
0.620066,26.3295,1,1.48462,2.56618,372,835.124,483.154,5,4,9.96693
0.692118,23.4132,2,1.41994,2.14638,335,873.181,577.65,6,4,2.17113
0.757345,26.9955,1,1.27004,2.1904,307,976.224,566.042,6,5,1.27109
0.649846,12.2163,2,1.5459,1.98088,356,802.051,625.916,7,2,4.01233
0.705646,16.9961,1,1.25017,2.45739,329,991.734,504.552,7,3,1.89312
0.82887,24.5036,2,1.21112,1.92124,282,1023.73,645.339,7,5,0.873858
0.894695,27.4571,1,1.10723,1.91445,262,1119.77,647.631,7,6,0.678667
0.635131,0,2,1.59778,1.87791,364,776.012,660.241,8,0,5.693
0.67832,5.81753,1,1.19056,2.63186,342,1041.38,471.11,8,1,2.55362
0.781914,15.2953,2,1.30292,1.86334,298,951.613,665.395,8,3,1.09942
0.840199,19.1066,1,1.11553,2.10548,278,1111.43,588.878,8,4,0.832642
0.965838,25.285,2,1.05699,1.72686,243,1173.01,717.98,8,6,0.546691
1.03209,27.7958,1,0.980503,1.70195,229,1264.5,728.492,8,7,0.462869
0.757345,5.20872,2,1.35938,1.79357,307,912.102,691.284,9,1,1.27109
0.805734,9.82643,1,1.08987,2.25105,289,1137.59,550.802,9,2,0.972128
0.915586,17.4802,2,1.12652,1.71632,256,1100.62,722.391,9,4,0.633742
0.975577,20.633,1,0.998683,1.8453,241,1241.48,671.907,9,5,0.532513
1.10294,25.8722,2,0.938199,1.56342,215,1321.53,793.038,9,7,0.397662
1.16951,28.0549,1,0.879398,1.53275,203,1409.88,808.909,9,8,0.35118
0.793914,0,1,1.07275,2.30697,294,1155.74,537.454,10,0,1.03139
0.884065,8.94828,2,1.17699,1.68303,265,1053.43,736.684,10,2,0.704065
0.93601,12.7305,1,0.99261,1.96327,251,1249.07,631.538,10,3,0.59522
1.05025,19.1066,2,0.992606,1.57397,225,1249.1,787.722,10,5,0.444199
1.11148,21.7868,1,0.900355,1.6443,213,1377.06,754.038,10,6,0.391023
1.24013,26.3295,2,0.84368,1.42605,192,1469.58,869.428,10,8,0.312435
1.30695,28.2595,1,0.796997,1.3946,183,1555.65,889.036,10,9,0.282907
0.873305,0,2,1.19572,1.6652,268,1036.93,744.573,11,0,0.731783
0.915586,4.30662,1,0.980243,2.03193,256,1264.82,610.199,11,1,0.633742
1.0136,11.7415,2,1.03572,1.56437,233,1197.11,792.561,11,3,0.483558
1.0681,14.9209,1,0.90447,1.74024,221,1370.79,712.474,11,4,0.427258
1.18557,20.3626,2,0.88741,1.44576,201,1397.17,857.581,11,6,0.34155
1.24773,22.6889,1,0.817888,1.48391,191,1515.91,835.537,11,7,0.308769
1.37739,26.6957,2,0.766612,1.30977,174,1617.31,946.619,11,9,0.257272
1.4444,28.4252,1,0.728609,1.27957,167,1701.66,968.963,11,10,0.236855
0.994771,3.96323,2,1.05995,1.55187,237,1169.75,798.947,12,1,0.506623
1.04121,7.58909,1,0.899492,1.80711,227,1378.37,686.11,12,2,0.453301
1.145,13.8979,2,0.923939,1.44977,207,1341.94,855.21,12,4,0.366973
1.20141,16.6272,1,0.826982,1.56287,198,1499.24,793.329,12,5,0.332552
1.32134,21.3609,2,0.802533,1.33298,181,1544.93,930.135,12,7,0.277263
1.38424,23.4132,1,0.748327,1.3527,174,1656.83,916.582,12,8,0.255025
1.51469,26.9955,2,0.702532,1.21041,160,1764.83,1024.32,12,10,0.218653
1.58186,28.5621,1,0.67097,1.18222,153,1847.84,1048.75,12,11,0.203695
1.03209,0,1,0.89609,1.83131,229,1383.6,677.047,13,0,0.462869
1.11995,7.05268,2,0.948586,1.44585,212,1307.07,857.527,13,2,0.38465
1.16951,10.1583,1,0.827689,1.62361,203,1497.95,763.654,13,3,0.35118
1.27768,15.6084,2,0.833591,1.34436,187,1487.38,922.265,13,5,0.295123
1.33557,17.9917,1,0.759621,1.41857,179,1632.19,874.023,13,6,0.271898
1.45743,22.1729,2,0.732572,1.23441,165,1692.47,1004.4,13,8,0.233255
1.52092,24.0074,1,0.689143,1.24322,159,1799.12,997.292,13,9,0.217174
1.65203,27.2455,2,0.648391,1.12471,147,1912.2,1102.37,13,11,0.190109
1.71933,28.677,1,0.621746,1.09874,142,1994.14,1128.43,13,12,0.178678
1.11148,0,2,0.957335,1.44316,213,1295.13,859.128,14,0,0.391023
1.15323,3.41798,1,0.825702,1.65699,206,1501.55,748.272,14,1,0.361516
1.24773,9.51534,2,0.856794,1.34735,191,1447.1,920.215,14,3,0.308769
1.29969,12.2163,1,0.763995,1.47241,184,1622.84,842.07,14,4,0.28584
1.41129,16.9961,2,0.759176,1.24951,170,1633.17,992.274,14,6,0.24652
1.47035,19.1066,1,0.70117,1.29891,164,1768.25,954.543,14,7,0.229793
1.59377,22.8462,2,0.67389,1.1482,152,1839.85,1079.82,14,9,0.201254
1.65774,24.5036,1,0.638319,1.15041,147,1942.36,1077.75,14,10,0.189082
1.78939,27.4571,2,0.602032,1.05013,137,2059.44,1180.66,14,12,0.168153
1.85681,28.775,1,0.579229,1.02635,132,2140.52,1208.03,14,13,0.159133
1.23249,3.19794,2,0.869281,1.34696,193,1426.32,920.481,15,1,0.316213
1.27768,6.17839,1,0.764414,1.50807,187,1621.95,822.158,15,2,0.295123
1.37739,11.5175,2,0.780362,1.25716,174,1588.83,986.236,15,4,0.257272
1.43125,13.8979,1,0.707692,1.34627,168,1751.95,920.966,15,5,0.240602
1.54558,18.1432,2,0.696875,1.16491,157,1779.17,1064.33,15,7,0.211509
1.60559,20.034,1,0.650313,1.19804,151,1906.54,1034.9,15,8,0.198888
1.73029,23.4132,2,0.623952,1.07249,141,1987.1,1156.05,15,10,0.176945
1.79467,24.9241,1,0.594281,1.07068,137,2086.3,1158.01,15,11,0.167411
1.92677,27.6385,2,0.561882,0.984691,128,2206.6,1259.13,15,13,0.150742
1.99429,28.8595,1,0.542139,0.962945,124,2286.96,1287.56,15,14,0.143442
1.27026,0,1,0.764085,1.5206,188,1622.64,815.385,16,0,0.298391
1.35664,5.81753,2,0.794107,1.25997,177,1561.34,984.033,16,2,0.264326
1.40458,8.44454,1,0.710229,1.38114,171,1745.69,897.713,16,3,0.248578
1.50844,13.1736,2,0.715985,1.1754,160,1731.69,1054.83,16,5,0.220159
1.56383,15.2953,1,0.657972,1.2397,155,1884.34,1000.13,16,6,0.207506
1.6804,19.1066,2,0.643976,1.08964,145,1925.32,1137.85,16,8,0.185117
1.74119,20.8171,1,0.605854,1.11186,140,2046.44,1115.13,16,9,0.175256
1.86696,23.8973,2,0.58093,1.00567,132,2134.26,1232.85,16,11,0.157858
1.93168,25.285,1,0.5558,1.0014,128,2230.74,1238.12,16,12,0.150187
2.06418,27.7958,2,0.526768,0.926839,120,2353.69,1337.72,16,14,0.136596
2.13177,28.933,1,0.509504,0.906954,117,2433.44,1367.05,16,15,0.130568
1.34965,0,2,0.79888,1.26055,178,1552.01,983.584,17,0,0.26679
1.39105,2.83309,1,0.710778,1.39973,173,1744.34,885.797,17,1,0.252829
1.48315,7.99414,2,0.729777,1.18097,163,1698.96,1049.86,17,3,0.226461
1.5333,10.3327,1,0.662053,1.27251,158,1872.72,974.348,17,4,0.214293
1.64054,14.5639,2,0.661145,1.1017,148,1875.32,1125.4,17,6,0.192208
